item_name,item_price,store,date,item_des,item_cat
โมจิริง ช็อคโกแล็ต Chocolate Mochi Ring,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,โดนัทแป้งโมจิ เนื้อนุ่ม หนึบ เคลือบด้วยรสช็อคโกแลต,โดนัท / Single Donut
โมจิริง ช็อคโกแลตมาร์เบิล Mochi Ring Chocolate Marble,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,โดนัท / Single Donut
โมจิริง เกลซด์ Mochi Ring Glaze,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,โดนัท / Single Donut
บลูเบอร์รี่ Blueberry,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,โดนัทเนื้อยีสต์ คลุกเคล้าด้วยน้าตาลไอซิ่ง สอดไส้หอมหวานซ่อนเปรี้ยว ด้วยแยมบลูเบอร์รี่,โดนัท / Single Donut
สตรอเบอร์รี่ Strawberry,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,โดนัทเนื้อยีสต์ คลุกเคล้าด้วยน้าตาลไอซิ่ง สอดไส้หอมหวานซ่อนเปรี้ยว ด้วยแยมสตรอเบอร์รี่,โดนัท / Single Donut
บาวาเรี่ยน Bavarian,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,โดนัทเนื้อยีสต์ คลุกเคล้าด้วยน้าตาลไอซิ่ง สอดไส้บาวาเรี่ยน,โดนัท / Single Donut
ช็อคโกแลต ฟลาวเวอร์ Chocolate Flower,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,"โดนัทเนื้อยีสต์เคลือบด้วยช็อคโกแลตฟรอสต์
วาดเส้นดอกไม้ด้วยวานิลลาฟรอสต์",โดนัท / Single Donut
สตรอเบอร์รี่ ฟลาวเวอร์ Strawberry Flower,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,"โดนัทเนื้อยีสต์เคลือบด้วยสตรอเบอร์รี่ฟรอสต์
วาดเส้นดอกไม้ด้วยวานิลลาฟรอสต์",โดนัท / Single Donut
เกรซด์ Glazed,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,โดนัทเนื้อยีสต์ เคลือบด้วยน้ำตาลเกลซด์สูตรพิเศษเฉพาะดังกิ้น โดนัท,โดนัท / Single Donut
ช็อคโกแลต บัตเตอร์ นัท Chocolate Butternut,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,โดนัทเนื้อเค้กช็อคโกแลต เคลือบด้วยน้าตาลเกลซด์ คลุกเคล้าด้วยถั่วลิสง รสชาติ หอมหวานมัน พร้อมกลิ่นหอมของถั่ว,โดนัท / Single Donut
